pdb_id,chain_num,chain_ids,gap_num,gap_len,gap_start_end_ids,is_gap_in_ss,is_gap_on_terminal_end,hetatm,unk,a,b,c,alpha,beta,gamma,sp.gp.,Z
1u42,1,A,1,4,286-289,False,False,0,0,59.403,59.403,59.856,90.0,90.0,90.0,P 41 21 2,8.0
1y9u,1,A,1,4,229-232,False,False,0,0,59.39,71.47,74.82,90.0,90.0,90.0,P 21 21 21,4.0
3kzd,1,A,1,6,851-856,False,False,0,0,44.782,44.782,70.799,90.0,90.0,120.0,P 32 2 1,6.0
1suj,1,A,1,7,356-362,False,False,0,0,70.762,75.049,79.059,90.0,90.0,90.0,P 21 21 21,4.0
1nko,1,A,1,5,69-73,False,False,0,0,32.461,49.715,39.787,90.0,113.08,90.0,P 1 21 1,2.0
1un2,1,A,1,4,89-92,False,False,0,0,37.76,52.59,53.73,90.0,103.23,90.0,P 1 21 1,2.0
2uzr,1,A,1,5,43-47,False,False,0,0,83.886,32.811,42.16,90.0,119.11,90.0,C 1 2 1,4.0
2vy6,1,A,1,8,678-685,False,False,0,0,33.38,65.35,45.54,90.0,91.99,90.0,P 1 21 1,2.0
2e3u,1,A,1,6,129-134,False,False,0,0,45.949,47.45,95.722,90.000,90.0,90.0,P 21 21 21,4.0
4dfi,1,A,1,4,83-86,False,False,0,0,43.272,45.78,52.641,90.000,90.0,90.0,P 21 21 21,4.0
1dts,1,A,1,4,209-212,False,False,0,0,73.2,49.2,61.8,90.000,107.1,90.0,C 1 2 1,4.0
1pw2,1,A,1,4,37-40,False,False,0,0,53.687,71.799,72.032,90.000,90.0,90.0,P 21 21 21,4.0
6u7d,1,A,1,7,80-86,False,False,0,0,64.31,69.94,74.25,90.000,90.0,90.0,P 2 21 21,4.0
1gp3,1,A,1,4,1618-1621,False,False,0,0,31.373,49.843,83.03,90.000,90.0,90.0,P 21 21 21,4.0
1cjl,1,A,1,5,175-179,False,False,0,0,40.08,88.09,94.93,90.0,90.0,90.0,P 21 21 21,4.0
4we2,1,A,1,4,74-77,False,False,0,0,53.639,49.026,54.468,90.0,109.21,90.0,P 1 21 1,2.0
3cxr,1,A,1,6,208-213,False,False,0,0,71.147,75.378,97.674,90.0,90.0,90.0,I 2 2 2,8.0
3uj1,1,A,1,7,366-372,False,False,0,0,63.58,63.58,68.68,90.0,90.0,120.0,P 32 2 1,6.0
5yfk,1,A,1,6,51-56,False,False,0,0,74.67,59.73,56.22,90.0,121.39,90.0,C 1 2 1,4.0
2vks,1,A,1,5,260-264,False,False,0,0,73.229,73.229,48.837,90.0,90.0,120.0,P 61,6.0
4c8p,1,A,1,7,105-111,False,False,0,0,58.725,74.297,38.834,90.0,90.0,90.0,P 21 21 2,4.0
4kee,1,A,1,7,73-79,False,False,0,0,28.119,69.852,32.164,90.0,100.39,90.0,P 1 21 1,2.0
1rz2,1,A,1,6,235-240,False,False,0,0,40.474,64.599,42.964,90.0,105.77,90.0,P 1 21 1,2.0
4dia,1,A,1,7,129-135,False,False,0,0,52.269,54.058,96.316,90.0,90.0,90.0,P 21 21 21,4.0
2dvk,1,A,1,4,55-58,False,False,0,0,55.87,70.232,91.579,90.0,90.0,90.0,C 2 2 21,8.0
4m4z,1,A,1,6,45-50,False,False,0,0,38.46,42.43,46.1,90.0,94.63,90.0,P 1 21 1,2.0
1u9r,1,A,1,6,45-50,False,False,0,0,48.794,48.794,63.788,90.0,90.0,90.0,P 41,4.0
6ptl,1,A,1,5,73-77,False,False,0,0,81.869,81.869,66.828,90.0,90.0,120.0,P 32 2 1,6.0
1z21,1,A,1,8,122-129,False,False,0,0,85.662,85.662,85.662,90.0,90.0,90.0,P 41 3 2,24.0
1qgv,1,A,1,6,96-101,False,False,0,0,61.225,65.092,36.275,90.0,90.0,90.0,P 21 21 2,4.0
3f9q,1,A,1,4,241-244,False,False,0,0,52.659,39.567,90.532,90.0,105.54,90.0,P 1 2 1,2.0
4el6,1,A,1,5,64-68,False,False,0,0,54.388,54.388,56.712,90.0,90.0,120.0,P 61,6.0
4rnf,1,A,1,5,43-47,False,False,0,0,40.744,47.352,60.01,82.15,71.63,70.66,P 1,1.0
1u3y,1,A,1,6,285-290,False,False,0,0,63.111,63.111,65.138,90.0,90.0,90.0,P 41 21 2,8.0
5cej,1,A,1,7,190-196,False,False,0,0,88.16,88.16,54.17,90.0,90.0,90.0,P 42 21 2,8.0
6bhf,1,A,1,8,61-68,False,False,0,0,90.951,90.951,67.048,90.0,90.0,120.0,P 32 2 1,6.0
2q5x,1,A,1,4,787-790,False,False,0,0,69.674,69.674,90.964,90.0,90.0,90.0,P 41 21 2,8.0
4h6v,1,A,1,5,46-50,False,False,0,0,83.717,83.717,42.27,90.0,90.0,90.0,P 41,4.0
7s7s,1,A,1,8,63-70,False,False,0,0,48.487,37.665,43.761,90.0,90.0,90.0,P 21 21 2,4.0
1by9,1,A,1,8,321-328,False,False,0,0,43.775,43.775,76.57,90.0,90.0,120.0,P 31 2 1,6.0
4h9j,1,A,1,7,65-71,False,False,0,0,60.133,65.398,33.315,90.0,90.0,90.0,P 21 21 2,4.0
1k34,1,A,1,5,34-38,False,False,0,0,52.214,52.214,60.904,90.0,90.0,120.0,H 3,9.0
2pw5,1,A,1,5,46-50,False,False,0,0,49.022,49.022,63.838,90.0,90.0,90.0,P 41,4.0
1bgc,1,A,1,7,130-136,False,False,0,0,46.0,53.9,57.1,90.0,90.0,90.0,P 21 21 21,4.0
7e4m,1,A,1,6,245-250,False,False,0,0,66.87,64.908,70.583,90.0,108.75,90.0,C 1 2 1,4.0
1ryn,1,A,1,4,109-112,False,False,0,0,39.7,56.489,69.354,90.0,90.0,90.0,P 21 21 21,4.0
2pzw,1,A,1,5,46-50,False,False,0,0,48.999,48.999,63.153,90.0,90.0,90.0,P 41,4.0
6g7w,1,A,1,5,347-351,False,False,0,0,52.631,46.491,70.302,90.000,102.9,90.0,P 1 21 1,2.0
4m46,1,A,1,5,199-203,False,False,0,0,85.1,85.1,96.63,90.000,90.0,90.0,P 41,4.0
1neu,1,A,1,4,103-106,False,False,0,0,88.9,88.9,91.6,90.000,90.0,90.0,I 4 2 2,16.0
5u5o,1,A,1,5,273-277,False,False,0,0,27.9,54.983,57.317,67.720,76.47,85.35,P 1,1.0
